Training for 5000 steps ...
    9/5000: episode: 1, duration: 0.257s, episode steps: 9, steps per second: 35, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.162 [-2.882, 1.749], loss: --, mae: --, mean_q: --
   20/5000: episode: 2, duration: 1.068s, episode steps: 11, steps per second: 10, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.088 [-2.715, 1.807], loss: 0.666121, mae: 0.983430, mean_q: 0.858823
   29/5000: episode: 3, duration: 0.078s, episode steps: 9, steps per second: 115, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.111 [-2.226, 1.423], loss: 0.752602, mae: 0.999156, mean_q: 1.049906
   39/5000: episode: 4, duration: 0.146s, episode steps: 10, steps per second: 69, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.152 [-2.770, 1.738], loss: 0.693290, mae: 0.909143, mean_q: 1.116032
   47/5000: episode: 5, duration: 0.078s, episode steps: 8, steps per second: 103, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.138 [-2.563, 1.604], loss: 0.615300, mae: 0.867306, mean_q: 1.309369
   56/5000: episode: 6, duration: 0.072s, episode steps: 9, steps per second: 125, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.124 [-2.762, 1.768], loss: 0.588502, mae: 0.786375, mean_q: 1.310416
   65/5000: episode: 7, duration: 0.131s, episode steps: 9, steps per second: 69, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.139 [-2.798, 1.804], loss: 0.527072, mae: 0.742717, mean_q: 1.479044
   74/5000: episode: 8, duration: 0.079s, episode steps: 9, steps per second: 114, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.138 [-2.817, 1.757], loss: 0.558465, mae: 0.713815, mean_q: 1.576242
   83/5000: episode: 9, duration: 0.112s, episode steps: 9, steps per second: 81, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.118 [-2.741, 1.805], loss: 0.445786, mae: 0.602188, mean_q: 1.601580
   94/5000: episode: 10, duration: 0.089s, episode steps: 11, steps per second: 124, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.124 [-2.719, 1.743], loss: 0.537840, mae: 0.623916, mean_q: 1.709895
  103/5000: episode: 11, duration: 0.104s, episode steps: 9, steps per second: 86, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.143 [-2.802, 1.734], loss: 0.487390, mae: 0.584667, mean_q: 1.816234
  112/5000: episode: 12, duration: 0.109s, episode steps: 9, steps per second: 83, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.136 [-2.795, 1.802], loss: 0.523026, mae: 0.562086, mean_q: 1.881625
  121/5000: episode: 13, duration: 0.120s, episode steps: 9, steps per second: 75, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.144 [-2.881, 1.804], loss: 0.626653, mae: 0.612447, mean_q: 1.976179
  130/5000: episode: 14, duration: 0.134s, episode steps: 9, steps per second: 67, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.142 [-2.812, 1.778], loss: 0.581982, mae: 0.556589, mean_q: 1.890781
  140/5000: episode: 15, duration: 0.097s, episode steps: 10, steps per second: 103, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.157 [-3.069, 1.948], loss: 0.596136, mae: 0.549330, mean_q: 2.077211
  150/5000: episode: 16, duration: 0.089s, episode steps: 10, steps per second: 113, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.132 [-3.016, 1.962], loss: 0.561881, mae: 0.516567, mean_q: 2.065925
  159/5000: episode: 17, duration: 0.096s, episode steps: 9, steps per second: 94, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.167 [-2.873, 1.780], loss: 0.583428, mae: 0.523376, mean_q: 2.166001
  168/5000: episode: 18, duration: 0.086s, episode steps: 9, steps per second: 105, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.152 [-2.835, 1.751], loss: 0.535376, mae: 0.527543, mean_q: 2.296146
  179/5000: episode: 19, duration: 0.089s, episode steps: 11, steps per second: 124, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.092 [-2.774, 1.785], loss: 0.546458, mae: 0.557841, mean_q: 2.309444
  189/5000: episode: 20, duration: 0.082s, episode steps: 10, steps per second: 122, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.141 [-3.091, 1.961], loss: 0.541852, mae: 0.585170, mean_q: 2.337801
  199/5000: episode: 21, duration: 0.074s, episode steps: 10, steps per second: 135, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.105 [-2.979, 1.974], loss: 0.684390, mae: 0.682011, mean_q: 2.572290
  208/5000: episode: 22, duration: 0.071s, episode steps: 9, steps per second: 128, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.133 [-2.743, 1.748], loss: 0.636470, mae: 0.675762, mean_q: 2.522586
  219/5000: episode: 23, duration: 0.084s, episode steps: 11, steps per second: 131, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.114 [-2.741, 1.796], loss: 0.660217, mae: 0.747120, mean_q: 2.583772
  229/5000: episode: 24, duration: 0.080s, episode steps: 10, steps per second: 125, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.136 [-3.099, 1.970], loss: 0.680999, mae: 0.772417, mean_q: 2.708618
  238/5000: episode: 25, duration: 0.171s, episode steps: 9, steps per second: 53, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.173 [-2.861, 1.748], loss: 0.623609, mae: 0.813064, mean_q: 2.661525
  248/5000: episode: 26, duration: 0.080s, episode steps: 10, steps per second: 125, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.130 [-2.984, 1.969], loss: 0.644210, mae: 0.820974, mean_q: 2.780467
  257/5000: episode: 27, duration: 0.070s, episode steps: 9, steps per second: 128, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.175 [-2.889, 1.752], loss: 0.828173, mae: 0.912993, mean_q: 2.882059
  267/5000: episode: 28, duration: 0.079s, episode steps: 10, steps per second: 126, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.156 [-3.026, 1.906], loss: 0.656349, mae: 0.894288, mean_q: 2.793516
  276/5000: episode: 29, duration: 0.116s, episode steps: 9, steps per second: 77, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.120 [-2.791, 1.807], loss: 0.677838, mae: 0.934464, mean_q: 2.804038
  285/5000: episode: 30, duration: 0.066s, episode steps: 9, steps per second: 136, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.131 [-2.760, 1.804], loss: 0.626947, mae: 0.925362, mean_q: 2.828364
  293/5000: episode: 31, duration: 0.077s, episode steps: 8, steps per second: 103, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.147 [-2.506, 1.535], loss: 0.563728, mae: 0.930492, mean_q: 2.936023
  306/5000: episode: 32, duration: 0.103s, episode steps: 13, steps per second: 127, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.846 [0.000, 1.000], mean observation: -0.119 [-2.756, 1.716], loss: 0.545372, mae: 0.940824, mean_q: 3.034086
  316/5000: episode: 33, duration: 0.089s, episode steps: 10, steps per second: 112, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.130 [-2.551, 1.590], loss: 0.544051, mae: 0.960453, mean_q: 3.118681
  326/5000: episode: 34, duration: 0.101s, episode steps: 10, steps per second: 99, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.138 [-3.067, 2.005], loss: 0.708920, mae: 1.084495, mean_q: 3.162893
