Training for 5000 steps ...
WARNING:tensorflow:From C:\Users\LennartvanHam\Anaconda3\envs\CartPole\lib\site-packages\keras-2.3.1-py3.7.egg\keras\backend\tensorflow_backend.py:422: The name tf.global_variables is deprecated. Please use tf.compat.v1.global_variables instead.

    9/5000: episode: 1, duration: 0.101s, episode steps: 9, steps per second: 89, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.162 [-2.882, 1.749], loss: --, mae: --, mean_q: --
   20/5000: episode: 2, duration: 0.828s, episode steps: 11, steps per second: 13, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.088 [-2.715, 1.807], loss: 0.681350, mae: 0.979550, mean_q: 0.845577
   29/5000: episode: 3, duration: 0.076s, episode steps: 9, steps per second: 119, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.889 [0.000, 1.000], mean observation: -0.111 [-2.226, 1.423], loss: 0.771551, mae: 0.991267, mean_q: 1.026172
   39/5000: episode: 4, duration: 0.075s, episode steps: 10, steps per second: 134, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.152 [-2.770, 1.738], loss: 0.695907, mae: 0.902907, mean_q: 1.104702
   47/5000: episode: 5, duration: 0.112s, episode steps: 8, steps per second: 72, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.138 [-2.563, 1.604], loss: 0.723157, mae: 0.885468, mean_q: 1.231077
   56/5000: episode: 6, duration: 0.078s, episode steps: 9, steps per second: 115, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.124 [-2.762, 1.768], loss: 0.546322, mae: 0.785605, mean_q: 1.397401
   65/5000: episode: 7, duration: 0.138s, episode steps: 9, steps per second: 65, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.139 [-2.798, 1.804], loss: 0.552150, mae: 0.734417, mean_q: 1.443396
   74/5000: episode: 8, duration: 0.082s, episode steps: 9, steps per second: 109, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.138 [-2.817, 1.757], loss: 0.514400, mae: 0.686315, mean_q: 1.583709
   83/5000: episode: 9, duration: 0.074s, episode steps: 9, steps per second: 122, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.118 [-2.741, 1.805], loss: 0.534434, mae: 0.640773, mean_q: 1.633211
   94/5000: episode: 10, duration: 0.094s, episode steps: 11, steps per second: 117, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.124 [-2.719, 1.743], loss: 0.532404, mae: 0.619150, mean_q: 1.690027
  103/5000: episode: 11, duration: 0.071s, episode steps: 9, steps per second: 127, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.143 [-2.802, 1.734], loss: 0.518572, mae: 0.572723, mean_q: 1.752221
  112/5000: episode: 12, duration: 0.167s, episode steps: 9, steps per second: 54, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.136 [-2.795, 1.802], loss: 0.587661, mae: 0.603994, mean_q: 1.827226
  121/5000: episode: 13, duration: 0.078s, episode steps: 9, steps per second: 116, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.144 [-2.881, 1.804], loss: 0.558413, mae: 0.551617, mean_q: 1.953104
  130/5000: episode: 14, duration: 0.077s, episode steps: 9, steps per second: 117, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.142 [-2.812, 1.778], loss: 0.515376, mae: 0.493245, mean_q: 1.930567
  140/5000: episode: 15, duration: 0.097s, episode steps: 10, steps per second: 103, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.157 [-3.069, 1.948], loss: 0.610721, mae: 0.552268, mean_q: 2.045455
  150/5000: episode: 16, duration: 0.082s, episode steps: 10, steps per second: 121, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.132 [-3.016, 1.962], loss: 0.671048, mae: 0.551816, mean_q: 2.108243
  159/5000: episode: 17, duration: 0.074s, episode steps: 9, steps per second: 122, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.167 [-2.873, 1.780], loss: 0.619804, mae: 0.564491, mean_q: 2.134645
  168/5000: episode: 18, duration: 0.071s, episode steps: 9, steps per second: 126, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.152 [-2.835, 1.751], loss: 0.611291, mae: 0.595237, mean_q: 2.173026
  179/5000: episode: 19, duration: 0.181s, episode steps: 11, steps per second: 61, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.092 [-2.774, 1.785], loss: 0.606465, mae: 0.611506, mean_q: 2.231355
  189/5000: episode: 20, duration: 0.077s, episode steps: 10, steps per second: 129, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.141 [-3.091, 1.961], loss: 0.572806, mae: 0.647787, mean_q: 2.261617
  199/5000: episode: 21, duration: 0.071s, episode steps: 10, steps per second: 140, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.105 [-2.979, 1.974], loss: 0.463446, mae: 0.612332, mean_q: 2.357069
  208/5000: episode: 22, duration: 0.121s, episode steps: 9, steps per second: 74, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.133 [-2.743, 1.748], loss: 0.519794, mae: 0.645328, mean_q: 2.545944
  219/5000: episode: 23, duration: 0.087s, episode steps: 11, steps per second: 126, episode reward: 11.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.909 [0.000, 1.000], mean observation: -0.114 [-2.741, 1.796], loss: 0.586248, mae: 0.691962, mean_q: 2.565465
  229/5000: episode: 24, duration: 0.075s, episode steps: 10, steps per second: 134, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.136 [-3.099, 1.970], loss: 0.643362, mae: 0.790050, mean_q: 2.690190
  238/5000: episode: 25, duration: 0.068s, episode steps: 9, steps per second: 132, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.173 [-2.861, 1.748], loss: 0.578931, mae: 0.778365, mean_q: 2.646034
  248/5000: episode: 26, duration: 0.075s, episode steps: 10, steps per second: 132, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.130 [-2.984, 1.969], loss: 0.597304, mae: 0.810816, mean_q: 2.713845
  257/5000: episode: 27, duration: 0.070s, episode steps: 9, steps per second: 129, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.175 [-2.889, 1.752], loss: 0.709669, mae: 0.867936, mean_q: 2.741120
  267/5000: episode: 28, duration: 0.078s, episode steps: 10, steps per second: 129, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.156 [-3.026, 1.906], loss: 0.671288, mae: 0.896425, mean_q: 2.771172
  276/5000: episode: 29, duration: 0.070s, episode steps: 9, steps per second: 128, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.120 [-2.791, 1.807], loss: 0.675582, mae: 0.924164, mean_q: 2.798165
  285/5000: episode: 30, duration: 0.079s, episode steps: 9, steps per second: 114, episode reward: 9.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.131 [-2.760, 1.804], loss: 0.537545, mae: 0.897537, mean_q: 2.801497
  293/5000: episode: 31, duration: 0.056s, episode steps: 8, steps per second: 143, episode reward: 8.000, mean reward: 1.000 [1.000, 1.000], mean action: 1.000 [1.000, 1.000], mean observation: -0.147 [-2.506, 1.535], loss: 0.598050, mae: 0.923176, mean_q: 2.941660
  306/5000: episode: 32, duration: 0.139s, episode steps: 13, steps per second: 94, episode reward: 13.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.846 [0.000, 1.000], mean observation: -0.119 [-2.756, 1.716], loss: 0.576229, mae: 0.944622, mean_q: 3.080331
  316/5000: episode: 33, duration: 0.076s, episode steps: 10, steps per second: 131, episode reward: 10.000, mean reward: 1.000 [1.000, 1.000], mean action: 0.900 [0.000, 1.000], mean observation: -0.130 [-2.551, 1.590], loss: 0.663513, mae: 0.984263, mean_q: 3.061838
